"Name","Agent","ID","State","User","Notes","Job Type","Group","Tags","Created","End Time","Updated","Max Test Accuracy","time_mask_param","dropOutProbability","freq_mask_param"
"crimson-sweep-365","","df7rv5h3","finished","","-","","","","2024-07-16T15:04:39.000Z","2024-07-16T15:09:01.000Z","2024-07-16T15:09:01.000Z","0.8556110858700591","10","0.2","40"
"peach-sweep-131","","j1rg7v01","finished","","-","","","","2024-07-15T18:09:57.000Z","2024-07-15T18:17:30.000Z","2024-07-15T18:17:30.000Z","0.8549750113584734","50","0","50"
"different-sweep-92","","fhvnn56l","finished","","-","","","","2024-07-15T14:20:39.000Z","2024-07-15T14:27:29.000Z","2024-07-15T14:27:29.000Z","0.8533393911858246","10","0","40"
"peachy-sweep-299","","5fafdxnf","finished","","-","","","","2024-07-16T10:27:11.000Z","2024-07-16T10:38:23.000Z","2024-07-16T10:38:23.000Z","0.8530667878237165","50","0.2","10"
"serene-sweep-545","","lwc3efms","finished","","-","","","","2024-07-17T06:44:47.000Z","2024-07-17T06:55:09.000Z","2024-07-17T06:55:09.000Z","0.8526124488868696","60","0.3","50"
"charmed-sweep-241","","tcp27f13","finished","","-","","","","2024-07-16T04:28:44.000Z","2024-07-16T04:33:05.000Z","2024-07-16T04:33:05.000Z","0.852248977737392","30","0.1","40"
"balmy-sweep-161","","9xpsjvjv","finished","","-","","","","2024-07-15T21:06:24.000Z","2024-07-15T21:12:25.000Z","2024-07-15T21:12:25.000Z","0.8518855065879146","70","0.1","10"
"dry-sweep-128","","zryo257b","finished","","-","","","","2024-07-15T17:42:52.000Z","2024-07-15T17:48:49.000Z","2024-07-15T17:48:49.000Z","0.8514311676510677","20","0","50"
"usual-sweep-372","","4sumtk1b","finished","","-","","","","2024-07-16T15:39:22.000Z","2024-07-16T15:42:53.000Z","2024-07-16T15:42:53.000Z","0.8494320763289414","10","0.2","40"
"fresh-sweep-105","","h3xmr1id","finished","","-","","","","2024-07-15T15:41:59.000Z","2024-07-15T15:49:42.000Z","2024-07-15T15:49:42.000Z","0.8492503407542026","70","0","40"
"clear-sweep-187","","vk8lia5y","finished","","-","","","","2024-07-15T23:27:09.000Z","2024-07-15T23:43:20.000Z","2024-07-15T23:43:20.000Z","0.8490686051794639","50","0.1","20"
"dandy-sweep-95","","p6zgia6j","finished","","-","","","","2024-07-15T14:47:17.000Z","2024-07-15T14:53:17.000Z","2024-07-15T14:53:17.000Z","0.8487960018173557","40","0","40"
"lively-sweep-343","","x0kcsm2o","finished","","-","","","","2024-07-16T13:39:24.000Z","2024-07-16T13:48:00.000Z","2024-07-16T13:48:00.000Z","0.8487051340299864","70","0.2","30"
"lyric-sweep-340","","xhaj9kg7","finished","","-","","","","2024-07-16T13:27:45.000Z","2024-07-16T13:31:16.000Z","2024-07-16T13:31:16.000Z","0.8482507950931395","40","0.2","30"
"giddy-sweep-135","","mg3sls2z","finished","","-","","","","2024-07-15T18:27:12.000Z","2024-07-15T18:32:17.000Z","2024-07-15T18:32:17.000Z","0.847887323943662","20","0","50"
"crimson-sweep-93","","hzgfrtgt","finished","","-","","","","2024-07-15T14:27:35.000Z","2024-07-15T14:37:44.000Z","2024-07-15T14:37:44.000Z","0.8475238527941844","20","0","40"
"deft-sweep-133","","55fcfmx3","finished","","-","","","","2024-07-15T18:19:24.000Z","2024-07-15T18:24:29.000Z","2024-07-15T18:24:29.000Z","0.8472512494320763","70","0","50"
"distinctive-sweep-428","","zobgt46p","finished","","-","","","","2024-07-16T20:07:53.000Z","2024-07-16T20:18:49.000Z","2024-07-16T20:18:49.000Z","0.8470695138573375","10","0.3","10"
"azure-sweep-335","","5p9c0ubw","finished","","-","","","","2024-07-16T13:04:45.000Z","2024-07-16T13:08:17.000Z","2024-07-16T13:08:17.000Z","0.8469786460699682","60","0.2","20"
"earnest-sweep-412","","c3dmvwyn","finished","","-","","","","2024-07-16T19:05:25.000Z","2024-07-16T19:09:47.000Z","2024-07-16T19:09:47.000Z","0.8467060427078601","60","0.2","50"
"good-sweep-399","","um91o82c","finished","","-","","","","2024-07-16T17:48:07.000Z","2024-07-16T17:58:24.000Z","2024-07-16T17:58:24.000Z","0.8462517037710132","70","0.2","50"
"different-sweep-512","","mx31rr5d","finished","","-","","","","2024-07-17T03:45:31.000Z","2024-07-17T03:52:25.000Z","2024-07-17T03:52:25.000Z","0.8461608359836438","10","0.3","40"
"hardy-sweep-436","","bsr81yhm","finished","","-","","","","2024-07-16T20:57:40.000Z","2024-07-16T21:11:20.000Z","2024-07-16T21:11:20.000Z","0.8450704225352113","20","0.3","10"
"floral-sweep-198","","ws6ahte9","finished","","-","","","","2024-07-16T01:00:40.000Z","2024-07-16T01:05:02.000Z","2024-07-16T01:05:02.000Z","0.8444343480236256","20","0.1","30"
"giddy-sweep-252","","08i5ipxk","finished","","-","","","","2024-07-16T05:20:56.000Z","2024-07-16T05:26:08.000Z","2024-07-16T05:26:08.000Z","0.8444343480236256","70","0.1","40"
"cosmic-sweep-53","","xqcrrvxf","finished","","-","","","","2024-07-15T10:45:54.000Z","2024-07-15T10:48:31.000Z","2024-07-15T10:48:31.000Z","0.8437074057246706","40","0","20"
"devout-sweep-444","","66d6kevx","finished","","-","","","","2024-07-16T21:54:53.000Z","2024-07-16T22:20:27.000Z","2024-07-16T22:20:27.000Z","0.8424352567014993","30","0.3","10"
"graceful-sweep-516","","jj05n1gy","finished","","-","","","","2024-07-17T04:04:07.000Z","2024-07-17T04:23:37.000Z","2024-07-17T04:23:37.000Z","0.8415265788278056","50","0.3","40"
"sunny-sweep-283","","ejhy36q8","finished","","-","","","","2024-07-16T08:47:01.000Z","2024-07-16T08:55:40.000Z","2024-07-16T08:55:40.000Z","0.841163107678328","30","0.2","10"
"fast-sweep-169","","mdffqz58","finished","","-","","","","2024-07-15T21:46:16.000Z","2024-07-15T21:51:33.000Z","2024-07-15T21:51:33.000Z","0.8407087687414811","10","0.1","20"
"tough-sweep-273","","gi0xzwmn","finished","","-","","","","2024-07-16T07:29:34.000Z","2024-07-16T07:35:39.000Z","2024-07-16T07:35:39.000Z","0.8405270331667424","70","0.1","50"
"dulcet-sweep-476","","4snt5a4y","finished","","-","","","","2024-07-17T01:04:54.000Z","2024-07-17T01:10:08.000Z","2024-07-17T01:10:08.000Z","0.8403452975920036","70","0.3","20"
"breezy-sweep-59","","vkibam85","finished","","-","","","","2024-07-15T11:07:05.000Z","2024-07-15T11:14:38.000Z","2024-07-15T11:14:38.000Z","0.8401635620172648","30","0","30"
"effortless-sweep-534","","0kiiagjt","finished","","-","","","","2024-07-17T05:55:43.000Z","2024-07-17T06:02:39.000Z","2024-07-17T06:02:39.000Z","0.8396183552930486","20","0.3","50"
"summer-sweep-46","","mulwh8pt","finished","","-","","","","2024-07-15T10:02:54.000Z","2024-07-15T10:16:21.000Z","2024-07-15T10:16:21.000Z","0.8394366197183099","40","0","20"
"serene-sweep-494","","hn6qr64g","finished","","-","","","","2024-07-17T02:12:18.000Z","2024-07-17T02:18:22.000Z","2024-07-17T02:18:22.000Z","0.8386188096319854","40","0.3","30"
"upbeat-sweep-338","","h8z67upb","finished","","-","","","","2024-07-16T13:22:17.000Z","2024-07-16T13:25:48.000Z","2024-07-16T13:25:48.000Z","0.838255338482508","20","0.2","30"
"frosty-sweep-398","","ka4cp1jh","finished","","-","","","","2024-07-16T17:42:02.000Z","2024-07-16T17:48:04.000Z","2024-07-16T17:48:04.000Z","0.8380736029077692","60","0.2","50"
"polished-sweep-123","","eo6op6o3","finished","","-","","","","2024-07-15T17:06:09.000Z","2024-07-15T17:20:24.000Z","2024-07-15T17:20:24.000Z","0.8379827351203998","40","0","50"
"crimson-sweep-84","","grc3lj66","finished","","-","","","","2024-07-15T13:42:16.000Z","2024-07-15T13:45:47.000Z","2024-07-15T13:45:47.000Z","0.8375283961835529","70","0","30"
"cool-sweep-431","","yln457jf","finished","","-","","","","2024-07-16T20:28:48.000Z","2024-07-16T20:37:26.000Z","2024-07-16T20:37:26.000Z","0.8369831894593367","40","0.3","10"
"gallant-sweep-138","","badkt4yg","finished","","-","","","","2024-07-15T18:40:12.000Z","2024-07-15T18:46:10.000Z","2024-07-15T18:46:10.000Z","0.8359836437982735","50","0","50"
"clear-sweep-323","","hb9tnob0","finished","","-","","","","2024-07-16T12:02:06.000Z","2024-07-16T12:07:20.000Z","2024-07-16T12:07:20.000Z","0.8358019082235347","10","0.2","20"
"amber-sweep-442","","xpa3ajrw","finished","","-","","","","2024-07-16T21:49:20.000Z","2024-07-16T21:52:01.000Z","2024-07-16T21:52:01.000Z","0.8338028169014085","10","0.3","10"
"robust-sweep-106","","y73ikps8","finished","","-","","","","2024-07-15T15:49:47.000Z","2024-07-15T15:55:47.000Z","2024-07-15T15:55:47.000Z","0.8337119491140391","10","0","40"
"gallant-sweep-266","","m3h04oar","finished","","-","","","","2024-07-16T06:59:21.000Z","2024-07-16T07:08:49.000Z","2024-07-16T07:08:49.000Z","0.8335302135393003","70","0.1","50"
"azure-sweep-86","","t594zrvy","finished","","-","","","","2024-07-15T13:47:44.000Z","2024-07-15T14:00:24.000Z","2024-07-15T14:00:24.000Z","0.8331667423898228","20","0","40"
"fluent-sweep-100","","sgd4ur8l","finished","","-","","","","2024-07-15T15:20:06.000Z","2024-07-15T15:22:44.000Z","2024-07-15T15:22:44.000Z","0.8330758746024535","20","0","40"
"twilight-sweep-281","","0eugbphu","finished","","-","","","","2024-07-16T08:35:38.000Z","2024-07-16T08:40:50.000Z","2024-07-16T08:40:50.000Z","0.8328032712403453","10","0.2","10"
"lyric-sweep-454","","glino7fg","finished","","-","","","","2024-07-16T23:24:09.000Z","2024-07-16T23:29:23.000Z","2024-07-16T23:29:23.000Z","0.8326215356656066","60","0.3","20"
"graceful-sweep-35","","4y3uktki","finished","","-","","","","2024-07-15T08:31:38.000Z","2024-07-15T08:38:23.000Z","2024-07-15T08:38:23.000Z","0.8324398000908678","70","0","20"
"fearless-sweep-180","","uw875wfw","finished","","-","","","","2024-07-15T22:45:15.000Z","2024-07-15T22:53:51.000Z","2024-07-15T22:53:51.000Z","0.8314402544298046","50","0.1","20"
"azure-sweep-270","","s0c3foju","finished","","-","","","","2024-07-16T07:22:16.000Z","2024-07-16T07:24:58.000Z","2024-07-16T07:24:58.000Z","0.8312585188550659","40","0.1","50"
"dandy-sweep-515","","co1u4lte","finished","","-","","","","2024-07-17T03:57:58.000Z","2024-07-17T04:04:03.000Z","2024-07-17T04:04:03.000Z","0.8312585188550659","40","0.3","40"
"avid-sweep-392","","td9tsp9u","finished","","-","","","","2024-07-16T17:09:40.000Z","2024-07-16T17:13:10.000Z","2024-07-16T17:13:10.000Z","0.8307133121308496","70","0.2","40"
"rural-sweep-240","","0xxpvwyo","finished","","-","","","","2024-07-16T04:22:25.000Z","2024-07-16T04:28:31.000Z","2024-07-16T04:28:31.000Z","0.8305315765561109","20","0.1","40"
"lucky-sweep-13","","rzki96jf","finished","","-","","","","2024-07-15T06:15:09.000Z","2024-07-15T06:21:54.000Z","2024-07-15T06:21:54.000Z","0.8304407087687414","60","0","10"
"dry-sweep-9","","yiucatrz","finished","","-","","","","2024-07-15T05:50:08.000Z","2024-07-15T05:58:38.000Z","2024-07-15T05:58:38.000Z","0.8297137664697865","20","0","10"
"rich-sweep-124","","lkdzy8ua","finished","","-","","","","2024-07-15T17:20:28.000Z","2024-07-15T17:28:06.000Z","2024-07-15T17:28:06.000Z","0.8294411631076783","50","0","50"
"fragrant-sweep-125","","xt0rng76","finished","","-","","","","2024-07-15T17:28:12.000Z","2024-07-15T17:35:00.000Z","2024-07-15T17:35:00.000Z","0.8291685597455702","60","0","50"
"vibrant-sweep-118","","4iiifdl4","finished","","-","","","","2024-07-15T16:44:47.000Z","2024-07-15T16:50:50.000Z","2024-07-15T16:50:50.000Z","0.8291685597455702","60","0","50"
"wise-sweep-527","","8p7gy4qm","finished","","-","","","","2024-07-17T05:23:32.000Z","2024-07-17T05:27:54.000Z","2024-07-17T05:27:54.000Z","0.8289868241708315","20","0.3","40"
"rosy-sweep-314","","0zdp1mgl","finished","","-","","","","2024-07-16T11:28:06.000Z","2024-07-16T11:32:29.000Z","2024-07-16T11:32:29.000Z","0.8288050885960927","60","0.2","20"
